JBL,S&P 500
JCI,S&P 500
JCP,S&P 500
JDSU,S&P 500
JEC,S&P 500
JNJ,S&P 500
JNPR,S&P 500
JOY,S&P 500
JPM,S&P 500
JWN,"PARMX,S&P 500,401k"
K,S&P 500
KEY,S&P 500
KFT,S&P 500
KIM,S&P 500
KLAC,S&P 500
KMB,S&P 500
KMI,S&P 500
KMX,S&P 500
KO,S&P 500
KR,S&P 500
KSS,S&P 500
L,S&P 500
LEG,S&P 500
LEN,S&P 500
LH,S&P 500
LIFE,S&P 500
LLL,S&P 500
LLTC,S&P 500
LLY,S&P 500
LM,S&P 500
LMT,S&P 500
LNC,S&P 500
LO,S&P 500
LOW,"PARWX,S&P 500,401k"
LRCX,S&P 500
LSI,S&P 500
LTD,S&P 500
LUK,S&P 500
LUV,S&P 500
LXK,S&P 500
LYB,S&P 500
M,S&P 500
MA,S&P 500
MAR,S&P 500
MAS,S&P 500
MAT,S&P 500
MCD,S&P 500
MCHP,S&P 500
MCK,S&P 500
MCO,S&P 500
MDT,S&P 500
MDU,"PARWX,S&P 500,401k,PARMX"
MET,S&P 500
MHP,S&P 500
MJN,S&P 500
MKC,"PARMX,S&P 500,401k"
MMC,S&P 500
MMM,"PARWX,401k"
MNST,S&P 500
MO,S&P 500
MOLX,S&P 500
MON,S&P 500
MOS,S&P 500
MPC,S&P 500
MRK,S&P 500
MRO,S&P 500
MS,S&P 500
MSFT,"PARWX,S&P 500,401k"
MSI,"PARMX,S&P 500,401k"
MTB,S&P 500
MU,S&P 500
MUR,S&P 500
MWV,S&P 500
MYL,S&P 500
NASDX,401k
NBL,S&P 500
NBR,S&P 500
NDAQ,S&P 500
NE,"PARMX,S&P 500,401k"
NEE,S&P 500
NEFRX,401k
NEM,S&P 500
NFLX,S&P 500
NFX,S&P 500
NI,S&P 500
NKE,S&P 500
NOC,S&P 500
NOV,S&P 500
NRG,S&P 500
NSC,S&P 500
NSP,"PARWX,S&P 500,401k,PARMX"
NTAP,S&P 500
NTRS,S&P 500
NU,S&P 500
NUE,S&P 500
NVDA,S&P 500
NVS,"PARWX,S&P 500,401k"
NWL,S&P 500
NWSA,S&P 500
NYX,S&P 500
ODMAX,401k
OI,S&P 500
OKE,S&P 500
OMC,S&P 500
ORCL,S&P 500
ORLY,S&P 500
OXY,S&P 500
PARMX,401k
PARWX,401k
PAYX,"PARMX,S&P 500,401k"
PBCT,S&P 500
PBI,S&P 500
PCAR,S&P 500
PCG,S&P 500
PCL,S&P 500
PCLN,S&P 500
PCP,S&P 500
PCS,S&P 500
PDCO,"PARMX,S&P 500,401k"
PEG,S&P 500
PEP,"PARWX,S&P 500,401k"
PFE,S&P 500
PFG,S&P 500
PG,"PARWX,S&P 500,401k"
PGR,S&P 500
PH,S&P 500
PHM,S&P 500
PKI,S&P 500
PLD,S&P 500
PLL,S&P 500
PM,S&P 500
PNC,S&P 500
PNR,"PARMX,401k"
PNW,S&P 500
POM,S&P 500
PPG,S&P 500
PPL,S&P 500
PRGO,S&P 500
PRU,S&P 500
PSA,S&P 500
PSX,S&P 500
PTLAX,401k
PWR,S&P 500
PX,S&P 500
PXD,S&P 500
QCOM,"PARWX,401k"
QEP,S&P 500
R,S&P 500
RAI,S&P 500
RDC,S&P 500
RF,S&P 500
RHI,S&P 500
RHT,S&P 500
RL,S&P 500
ROK,S&P 500
ROP,S&P 500
ROST,S&P 500
RRC,S&P 500
RRD,S&P 500
RSG,S&P 500
RTN,S&P 500
RVBD,"PARWX,401k"
S,S&P 500
SAI,S&P 500
SBUX,S&P 500
SCG,S&P 500
SCHW,S&P 500
SCHW,"S&P 500,PARMX,PARWX,401k"
SE,"PARMX,S&P 500,401k"
SEE,S&P 500
SEIC,"PARMX,401k"
SHW,S&P 500
SIAL,S&P 500
SJM,S&P 500
SJR,"PARMX,401k"
SLB,S&P 500
SLM,S&P 500
SMCIX,401k
SNA,S&P 500
SNDK,S&P 500
SNI,"PARMX,PARWX,401k,S&P 500"
SNPS,"PARMX,401k"
SO,S&P 500
SPFIX,401k
SPG,S&P 500
SPLS,S&P 500
SPMIX,401k
SRCL,S&P 500
SRE,S&P 500
SSD,"PARWX,401k"
STI,S&P 500
STJ,S&P 500
STR,"PARMX,401k"
STT,S&P 500
STX,S&P 500
STZ,S&P 500
SUN,S&P 500
SWK,S&P 500
SWN,S&P 500
SWY,S&P 500
SYK,S&P 500
SYMC,S&P 500
SYY,"PARMX,S&P 500,401k"
T,S&P 500
TAP,S&P 500
TDC,"PARMX,S&P 500,401k"
TE,S&P 500
TEG,S&P 500
TEL,S&P 500
TER,S&P 500
TFX,"PARMX,401k"
TGT,"PARWX,S&P 500,401k"
THC,S&P 500
TIE,S&P 500
TIF,S&P 500
TJX,S&P 500
TMK,S&P 500
TMO,S&P 500
TRIP,S&P 500
TROW,S&P 500
TRV,S&P 500
TSN,S&P 500
TSO,S&P 500
TSS,S&P 500
TWC,S&P 500
TWX,S&P 500
TXN,S&P 500
TXT,S&P 500
TYC,S&P 500
UNH,S&P 500
UNM,S&P 500
UNP,S&P 500
UPL,"PARMX,401k"
UPS,S&P 500
URBN,S&P 500
USB,S&P 500
UTX,S&P 500
V,S&P 500
VAR,S&P 500
VFC,S&P 500
VIAB,S&P 500
VLO,S&P 500
VMC,S&P 500
VNO,S&P 500
VRSK,"PARMX,401k"
VRSN,"PARMX,S&P 500,401k"
VRX,"PARMX,401k"
VTR,S&P 500
VZ,S&P 500
WAG,S&P 500
WAT,S&P 500
WDC,S&P 500
WEC,S&P 500
WFC,"PARWX,S&P 500,401k"
WFM,S&P 500
WHR,S&P 500
WIN,S&P 500
WLP,S&P 500
WM,"PARMX,S&P 500,401k"
WMB,S&P 500
WMT,S&P 500
WPI,S&P 500
WPO,S&P 500
WPX,S&P 500
WU,S&P 500
WY,S&P 500
WYN,S&P 500
WYNN,S&P 500
X,S&P 500
XEL,S&P 500
XL,S&P 500
XLNX,S&P 500
XOM,S&P 500
XRAY,"PARMX,S&P 500,401k"
XRX,S&P 500
XYL,S&P 500
YHOO,S&P 500
YUM,S&P 500
ZION,S&P 500
ZMH,S&P 500
